recno,rho,T,P,u
1,3.0E-8,60.0,7.424921E-9,-1589.498
2,4.0E-8,60.0,9.899892E-9,-1589.498
3,5.0E-8,60.0,1.237486E-8,-1589.498
4,6.0E-8,60.0,1.484984E-8,-1589.498
5,7.0E-8,60.0,1.732481E-8,-1589.498
6,8.0E-8,60.0,1.979978E-8,-1589.498
7,9.0E-8,60.0,2.227474E-8,-1589.498
8,1.0E-7,60.0,2.474971E-8,-1589.498
9,2.0E-7,60.0,4.949935E-8,-1589.498
10,3.0E-7,60.0,7.424889E-8,-1589.498
11,4.0E-7,60.0,9.899834E-8,-1589.498
12,5.0E-7,60.0,1.237477E-7,-1589.498
13,6.0E-7,60.0,1.48497E-7,-1589.499
14,7.0E-7,60.0,1.732462E-7,-1589.499
15,8.0E-7,60.0,1.979954E-7,-1589.499
16,9.0E-7,60.0,2.227444E-7,-1589.499
17,1.0E-6,60.0,2.474934E-7,-1589.499
18,2.0E-6,60.0,4.949788E-7,-1589.499
19,3.0E-6,60.0,7.424558E-7,-1589.499
20,4.0E-6,60.0,9.899244E-7,-1589.499
21,5.0E-6,60.0,1.237385E-6,-1589.499
22,6.0E-6,60.0,1.484838E-6,-1589.499
23,7.0E-6,60.0,1.732282E-6,-1589.499
24,8.0E-6,60.0,1.979718E-6,-1589.499
25,9.0E-6,60.0,2.227146E-6,-1589.499
26,1.0E-5,60.0,2.474565E-6,-1589.499
27,2.0E-5,60.0,4.948314E-6,-1589.499
28,3.0E-5,60.0,7.421241E-6,-1589.499
29,4.0E-5,60.0,9.893349E-6,-1589.499
30,5.0E-5,60.0,1.236464E-5,-1589.499
31,6.0E-5,60.0,1.483511E-5,-1589.499
32,7.0E-5,60.0,1.730477E-5,-1589.499
33,8.0E-5,60.0,1.97736E-5,-1589.499
34,9.0E-5,60.0,2.224162E-5,-1589.499
35,1.0E-4,60.0,2.470882E-5,-1589.499
36,2.0E-4,60.0,4.933577E-5,-1589.5
37,3.0E-4,60.0,7.388081E-5,-1589.501
38,4.0E-4,60.0,9.834398E-5,-1589.501
39,5.0E-4,60.0,1.227252E-4,-1589.502
40,6.0E-4,60.0,1.470246E-4,-1589.503
41,7.0E-4,60.0,1.71242E-4,-1589.503
42,8.0E-4,60.0,1.953775E-4,-1589.504
43,9.0E-4,60.0,2.19431E-4,-1589.505
44,0.001,60.0,2.434026E-4,-1589.506
45,0.002,60.0,4.786112E-4,-1589.514
46,0.003,60.0,7.056254E-4,-1589.521
47,0.004,60.0,9.244548E-4,-1589.529
48,0.005,60.0,0.001135117,-1589.537
49,0.006,60.0,0.001337643,-1589.545
50,0.007,60.0,0.001532069,-1589.552
51,0.008,60.0,0.001718443,-1589.559
52,0.009,60.0,0.001896829,-1589.568
53,0.01,60.0,0.0020673,-1589.576
54,0.02,60.0,0.003362003,-1589.656
55,0.03,60.0,0.004053217,-1589.741
56,0.04,60.0,0.004500425,-1589.828
57,0.05,60.0,0.005328503,-1589.916
