recno,rho,T,P,u
1,1.0E-10,60.0,1.24636E-11,-1842.881
2,2.0E-10,60.0,2.492719E-11,-1842.881
3,3.0E-10,60.0,3.739079E-11,-1842.881
4,4.0E-10,60.0,4.985439E-11,-1842.881
5,5.0E-10,60.0,6.231798E-11,-1842.881
6,6.0E-10,60.0,7.478158E-11,-1842.881
7,7.0E-10,60.0,8.724518E-11,-1842.881
8,8.0E-10,60.0,9.970877E-11,-1842.881
9,9.0E-10,60.0,1.121724E-10,-1842.881
10,1.0E-9,60.0,1.24636E-10,-1842.881
11,2.0E-9,60.0,2.492719E-10,-1842.881
12,3.0E-9,60.0,3.739079E-10,-1842.881
13,4.0E-9,60.0,4.985439E-10,-1842.881
14,5.0E-9,60.0,6.231798E-10,-1842.881
15,6.0E-9,60.0,7.478158E-10,-1842.881
16,7.0E-9,60.0,8.724518E-10,-1842.881
17,8.0E-9,60.0,9.970877E-10,-1842.881
18,9.0E-9,60.0,1.121724E-9,-1842.881
19,1.0E-8,60.0,1.24636E-9,-1842.881
20,2.0E-8,60.0,2.492719E-9,-1842.881
21,3.0E-8,60.0,3.739079E-9,-1842.881
22,4.0E-8,60.0,4.985439E-9,-1842.881
23,5.0E-8,60.0,6.231799E-9,-1842.881
24,6.0E-8,60.0,7.478159E-9,-1842.881
25,7.0E-8,60.0,8.724519E-9,-1842.881
26,8.0E-8,60.0,9.970879E-9,-1842.881
27,9.0E-8,60.0,1.121724E-8,-1842.881
28,1.0E-7,60.0,1.24636E-8,-1842.881
29,2.0E-7,60.0,2.49272E-8,-1842.881
30,3.0E-7,60.0,3.739081E-8,-1842.881
31,4.0E-7,60.0,4.985442E-8,-1842.881
32,5.0E-7,60.0,6.231804E-8,-1842.881
33,6.0E-7,60.0,7.478166E-8,-1842.881
34,7.0E-7,60.0,8.724529E-8,-1842.881
35,8.0E-7,60.0,9.970892E-8,-1842.881
36,9.0E-7,60.0,1.121726E-7,-1842.881
37,1.0E-6,60.0,1.246362E-7,-1842.881
38,2.0E-6,60.0,2.492729E-7,-1842.881
39,3.0E-6,60.0,3.7391E-7,-1842.881
40,4.0E-6,60.0,4.985476E-7,-1842.881
41,5.0E-6,60.0,6.231856E-7,-1842.881
42,6.0E-6,60.0,7.478242E-7,-1842.881
43,7.0E-6,60.0,8.724632E-7,-1842.881
44,8.0E-6,60.0,9.971026E-7,-1842.881
45,9.0E-6,60.0,1.121743E-6,-1842.881
46,1.0E-5,60.0,1.246383E-6,-1842.881
47,2.0E-5,60.0,2.492812E-6,-1842.881
48,3.0E-5,60.0,3.739288E-6,-1842.881
49,4.0E-5,60.0,4.985811E-6,-1842.881
50,5.0E-5,60.0,6.23238E-6,-1842.881
